"isInterpolated","useMicroData","CountryCode","CountryName","RegionCode","CoverageType","RequestYear","DataYear","DataType","PPP","PovertyLine","Mean","HeadCount","PovGap","PovGapSqr","Watts","Gini","Median","pr.mld","Polarization","ReqYearPopulation","SvyInfoID","Decile1","Decile2","Decile3","Decile4","Decile5","Decile6","Decile7","Decile8","Decile9","Decile10"
0,1,"CIV","Cote d'Ivoire","SSA","N","1981","1985.08","X",235.6879,3.2,322.1227,0.1395649,0.04347995,0.02105508,0.06687112,0.4552627,219.6005,0.3667627,-1,8.664057,"CIV_N1985X",0.0179,0.03159,0.04169,0.05165,0.06206,0.07569,0.09159,0.1149,0.1568,0.3561
0,0,"HRV","Croatia","ECA","N","1981","1988","Y",4.358503,3.2,590.1755,0.001013414,0.0005676803,0.0005576803,0.0001737238,0.2278073,549.6672,0.08802812,0.1812014,4.608,"HRV_N1988Y",0.04312,0.05997,0.07132,0.08054,0.08896,0.09747,0.107,0.119,0.1378,0.1949
0,1,"CYP","Cyprus","OHI","N","1981","2004","Y",0.7115528,3.2,467.596,0.004931732,0.001869087,0.001002046,0.002764611,0.3008683,396.8323,0.1518387,-1,0.689173,"CYP_N2004Y",0.03658,0.05125,0.06031,0.0695,0.07956,0.09025,0.1026,0.1204,0.1468,0.2427
0,0,"CZE","Czech Republic","ECA","N","1981","1993","Y",14.90097,3.2,504.377,0.000391938,0.0001434379,0.0001139854,0.0001154504,0.2660468,428.8603,0.1212092,-1.528578,10.300591,"CZE_N1993Y",0.04644,0.05794,0.06564,0.07305,0.08086,0.08961,0.1001,0.114,0.1361,0.2363
0,1,"DNK","Denmark","OHI","N","1981","2003","Y",8.523886,3.2,988.8696,0.00470111,0.00280805,0.00215198,0.006830593,0.2563006,885.6476,0.1210933,-1,5.121572,"DNK_N2003Y",0.03985,0.05843,0.06762,0.07579,0.08476,0.09385,0.1049,0.1203,0.1408,0.2136
0,1,"DJI","Djibouti","MNA","N","1981","2002","X",101.4806,3.2,259.6225,0.1535704,0.04260025,0.01778183,0.05753883,0.3999784,194.7543,0.2733941,-1,0.374937,"DJI_N2002X",0.02313,0.03705,0.04777,0.05804,0.0691,0.08199,0.09802,0.1198,0.1574,0.3077
0,0,"DOM","Dominican Republic","LAC","N","1981","1986","Y",20.74103,3.2,405.412,0.13619,0.04816615,0.02460545,0.06669151,0.477808,277.6032,0.4171547,0.4355326,5.943591,"DOM_N1986Y",0.01376,0.02547,0.03696,0.04878,0.06156,0.0762,0.0943,0.1194,0.1625,0.3611
0,0,"ECU","Ecuador","LAC","N","1981","1987","Y",0.5472345,3.2,233.5114,0.3121566,0.1391209,0.08293263,0.2365768,0.5049197,154.5379,0.4885518,0.4523506,8.183194,"ECU_N1987Y",0.01035,0.0225,0.0343,0.04632,0.05923,0.07393,0.09202,0.117,0.1599,0.3844
0,0,"EGY","Egypt, Arab Republic of","MNA","N","1981","1990.5","X",2.777,3.2,114.647,0.536095,0.1613579,0.0643012,0.2151005,0.3200394,93.00098,0.1693378,0.2553803,45.216506,"EGY_N1990X",0.03849,0.04866,0.05792,0.06691,0.07621,0.08649,0.09884,0.1155,0.1436,0.2673
0,0,"SLV","El Salvador","LAC","N","1981","1989","Y",0.5307735,3.2,249.6009,0.2752332,0.1484747,0.1168378,0.1641457,-1,-1,-1,-1,4.655364,"SLV_N1989Y",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,0,"EST","Estonia","ECA","N","1981","1993","Y",0.6085634,3.2,407.3378,0.03527723,0.009934148,0.005384997,0.01149932,0.3950347,307.2727,0.2691692,-1.289216,1.487666,"EST_N1993Y",0.02498,0.03909,0.04912,0.05903,0.06968,0.08184,0.09667,0.1167,0.1495,0.3135
0,0,"SWZ","Eswatini","SSA","N","1981","1994.83","X",4.049069,3.2,29.46337,0.9647245,0.7659138,0.6423022,1.928799,0.6045472,14.85546,0.6925939,-1.152843,0.621276,"SWZ_N1994X",0.008705,0.0167,0.02475,0.03379,0.0444,0.05744,0.07454,0.0995,0.1449,0.4953
0,1,"ETH","Ethiopia","SSA","N","1981","1995.25","X",5.438614,3.2,75.08774,0.8376024,0.4288548,0.2554634,0.6822391,0.4456451,50.03377,0.3411386,-1,36.120288,"ETH_N1995X",0.02591,0.03754,0.04585,0.05325,0.06187,0.07173,0.0845,0.1031,0.1358,0.3805
0,1,"FJI","Fiji","EAP","N","1981","2002.5","X",1.216541,3.2,181.468,0.2880772,0.08244429,0.03318398,0.10824,0.3810205,137.3804,0.2401027,-1,0.650955,"FJI_N2002X",0.02717,0.03972,0.04985,0.05985,0.06999,0.08236,0.09768,0.1192,0.1579,0.2962
0,1,"FIN","Finland","OHI","N","1981","2003","Y",0.9802463,3.2,763.3181,0.002493796,0.0008041652,0.0002593162,0.0009708249,0.2768374,660.7577,0.1319045,-1,4.799964,"FIN_N2003Y",0.03864,0.05507,0.06523,0.07375,0.08199,0.09152,0.1029,0.1186,0.1423,0.23
0,1,"FRA","France","OHI","N","1981","2003","Y",0.8797541,3.2,909.6697,0.002475366,0.00143569,0.0008326874,0.002147329,0.314088,763.6428,0.1681442,-1,55.585824,"FRA_N2003Y",0.03304,0.04945,0.05919,0.06875,0.07879,0.08961,0.1027,0.1201,0.1469,0.2514
0,1,"GAB","Gabon","SSA","N","1981","2005","X",359.2185,3.2,272.8619,0.1532964,0.04029489,0.01583889,0.0529707,0.4218499,193.9029,0.3011957,-1,0.747587,"GAB_N2005X",0.02273,0.03547,0.04551,0.0551,0.06559,0.07806,0.09424,0.1166,0.1553,0.3315
0,1,"GMB","Gambia, The","SSA","N","1981","1998","X",10.82647,3.2,61.93507,0.8416264,0.5108136,0.3528679,0.9550588,0.4851946,39.70208,0.4216336,-1,0.625411,"GMB_N1998X",0.01505,0.02806,0.0383,0.04731,0.05804,0.071,0.08886,0.1139,0.1628,0.3766
0,0,"GEO","Georgia","ECA","N","1981","1996","X",0.8419071,3.2,854.0255,0,0,0,0,0.3713271,691.7206,0.2404084,0.3201177,4.5045,"GEO_N1996X",0.02326,0.03802,0.05077,0.06272,0.07474,0.08775,0.1031,0.1234,0.1569,0.2793
0,1,"DEU","Germany","OHI","N","1981","1991","Y",0.8180292,3.2,1101.06,0.002486047,3.492947E-05,4.907662E-07,3.517718E-05,0.292449,944.6882,0.141901,-1,78.407907,"DEU_N1991Y",0.03671,0.05144,0.06057,0.07011,0.08004,0.09153,0.1058,0.1239,0.1506,0.2293
0,0,"GHA","Ghana","SSA","N","1981","1987.5","X",0.7880217,3.2,85.17547,0.7191135,0.3048775,0.1641909,0.4697643,0.3534958,69.17622,0.210925,0.3003567,11.117605,"GHA_N1987X",0.0282,0.04146,0.0531,0.06415,0.07536,0.08757,0.102,0.1214,0.1533,0.2734
0,1,"GRC","Greece","OHI","N","1981","2003","Y",0.7582539,3.2,585.6333,0.01492547,0.006763814,0.005066348,0.007846921,0.3276078,502.7141,0.2000485,-1,9.72935,"GRC_N2003Y",0.02752,0.0448,0.05622,0.06762,0.07924,0.09238,0.107,0.1258,0.1539,0.2456
0,0,"GTM","Guatemala","LAC","N","1981","1986.5","Y",3.873239,3.2,129.9469,0.6333698,0.3384553,0.2220708,0.6151868,0.582569,69.15386,0.6371542,0.5438552,7.466488,"GTM_N1986Y",0.009956,0.01767,0.02614,0.0357,0.04689,0.0606,0.0786,0.1049,0.1523,0.4673
0,0,"GIN","Guinea","SSA","N","1981","1991","X",2572.343,3.2,24.96209,0.9807512,0.7462282,0.6083351,1.855822,0.4684305,18.04085,0.4509828,0.4905278,4.589784,"GIN_N1991X",0.008884,0.02151,0.03452,0.04841,0.06383,0.0818,0.1041,0.1348,0.1848,0.3174
0,0,"GNB","Guinea-Bissau","SSA","N","1981","1991","X",248.2358,3.2,104.129,0.6708766,0.3863861,0.2740309,0.7641464,-1,-1,-1,-1,0.814507,"GNB_N1991X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,0,"GUY","Guyana","LAC","N","1981","1992.5","Y",133.2612,3.2,145.4438,0.5315935,0.2250913,0.1256327,0.3607555,-1,-1,-1,-1,0.781732,"GUY_N1992Y",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,"HTI","Haiti","LAC","N","1981","2001","Y",20.70574,3.2,156.3377,0.5835454,0.2989419,0.1952362,0.5593033,0.5947662,79.93164,0.692278,-1,5.818671,"HTI_N2001Y",0.006444,0.01688,0.02628,0.03522,0.04534,0.0575,0.07512,0.1013,0.1577,0.4782
0,0,"HND","Honduras","LAC","N","1981","1989","Y",10.08031,3.2,136.6562,0.6291769,0.3361383,0.2189257,0.6029139,0.5949015,69.17786,0.6590374,0.5664028,3.792938,"HND_N1989Y",0.01041,0.01722,0.02492,0.03383,0.0445,0.05787,0.07576,0.1024,0.1513,0.4818
0,0,"HUN","Hungary","ECA","N","1981","1987","Y",137.8829,3.2,590.8006,0.001088728,0.0008218177,0.0008118177,4.381169E-05,0.2095999,546.0569,0.07610319,-1.547223,10.711848,"HUN_N1987Y",0.04962,0.06457,0.07315,0.08084,0.08849,0.09661,0.1058,0.1172,0.1337,0.19
0,1,"ISL","Iceland","OHI","N","1981","2003","Y",138.895,3.2,996.076,0.00218494,0.0004151788,7.889163E-05,0.0004604625,0.2683468,873.3315,0.1261519,-1,0.230755,"ISL_N2003Y",0.03796,0.05699,0.06754,0.07535,0.08337,0.09247,0.1028,0.1172,0.1401,0.2262
0,0,"IND","India","SAS","A","1981","","X",14.97516,3.2,65.47389,0.8651055,0.4157037,0.2338989,0.6447121,-1,-1,-1,-1,713.118032,"IND_R1977X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,0,"IND","India","SAS","R","1981","","X",14.97516,3.2,59.55586,0.9024945,0.450077,0.258443,0.7058995,-1,-1,-1,-1,546.127182,"IND_R1977X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,0,"IND","India","SAS","U","1981","","X",14.97516,3.2,84.8282,0.7428284,0.3032892,0.1536297,0.4446047,-1,-1,-1,-1,166.99085,"IND_U1977X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,0,"IDN","Indonesia","EAP","A","1981","1984","X",4091.939,3.2,47.77864,0.9353417,0.540362,0.3464575,0.9129187,-1,-1,-1,-1,150.97884,"IDN_R1984X",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,0,"IDN","Indonesia","EAP","R","1981","1984","X",4091.939,3.2,42.13112,0.9617291,0.5816068,0.3819899,0.9970708,0.2921472,36.03968,0.1405544,0.2385572,116.533018,"IDN_R1984X",0.03871,0.05106,0.06147,0.07106,0.08061,0.09085,0.1028,0.1187,0.1447,0.2401
0,0,"IDN","Indonesia","EAP","U","1981","1984","X",4091.939,3.2,66.88466,0.846071,0.4008275,0.2262486,0.6282255,0.3329345,54.6465,0.1837165,0.2753216,34.445822,"IDN_U1984X",0.03351,0.04543,0.05598,0.06606,0.07632,0.08755,0.1009,0.1188,0.1486,0.2669
0,0,"IRN","Iran, Islamic Republic of","MNA","N","1981","1986","X",5001.363,3.2,265.028,0.2393147,0.07934848,0.03616348,0.109762,0.4741964,176.2702,0.391807,0.4271234,40.217629,"IRN_N1986X",0.01807,0.02777,0.03771,0.04829,0.06005,0.07384,0.09124,0.1158,0.1587,0.3686
0,1,"IRQ","Iraq","MNA","N","1981","2006.85","X",1003.799,3.2,132.8537,0.3785929,0.09094068,0.03212165,0.1144586,0.2860061,113.3101,0.1331823,-1,14.04654,"IRQ_N2006X",0.03946,0.05324,0.06278,0.07121,0.08033,0.09049,0.1026,0.1187,0.1449,0.2363
0,1,"IRL","Ireland","OHI","N","1981","2003","Y",0.9517142,3.2,641.1331,0.004968697,0.002134454,0.001365538,0.003614015,0.3288572,533.9039,0.1858747,-1,3.453,"IRL_N2003Y",0.03068,0.04624,0.0578,0.06744,0.07757,0.08908,0.1024,0.121,0.149,0.2588
1,1,"ISR","Israel","OHI","N","1981","","Y",4.270233,3.2,592.2111,0.007564639,0.001360329,0.0005091362,0.001787687,-1,-1,-1,-1,3.956,"ISR_N1979Y",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
0,1,"ITA","Italy","OHI","N","1981","2003","Y",0.8253945,3.2,847.3724,0.01747423,0.009302232,0.007112786,0.01410517,0.3492936,710.7817,0.2400935,-1,56.501675,"ITA_N2003Y",0.0232,0.04356,0.05535,0.0661,0.07757,0.09005,0.1039,0.1225,0.1512,0.2666
0,0,"JAM","Jamaica","LAC","N","1981","1988","X",63.35445,3.2,238.4864,0.221441,0.06907701,0.03145566,0.09239423,0.4315502,171.9533,0.321432,0.3684725,2.197583,"JAM_N1988X",0.02142,0.03269,0.04346,0.05433,0.0659,0.07898,0.09499,0.117,0.1546,0.3366
0,1,"JPN","Japan","OHI","N","1981","2008","Y",116.1032,3.2,726.0759,0.009765625,0.004769932,0.003127151,0.008835691,0.3210734,628.4854,0.1882502,-1,117.648,"JPN_N2008Y",0.0269,0.04684,0.05909,0.06971,0.0808,0.09238,0.1053,0.122,0.1496,0.2474
0,0,"JOR","Jordan","MNA","N","1981","1986.5","X",0.446,3.2,324.4281,0.03627931,0.003417735,0.0005108062,0.003709253,0.3606143,253.0064,0.2128817,0.3205263,2.461193,"JOR_N1986X",0.03137,0.04135,0.05115,0.06123,0.07211,0.08455,0.09985,0.1209,0.1564,0.2811
0,0,"KAZ","Kazakhstan","ECA","N","1981","1993","Y",83.61162,3.2,224.4574,0.1427338,0.03200272,0.009798664,0.04060439,0.3266573,189.2426,0.1787839,0.2854004,14.683789,"KAZ_N1993Y",0.03066,0.0442,0.05603,0.06718,0.07845,0.09065,0.105,0.1239,0.1545,0.2494
0,0,"KEN","Kenya","SSA","N","1981","1992","X",35.42959,3.2,170.4476,0.5319455,0.2406247,0.1391949,0.3834831,0.5746096,90.64921,0.5970212,-1.140835,16.901677,"KEN_N1992X",0.01243,0.02147,0.02934,0.03785,0.04766,0.0596,0.07521,0.09802,0.1397,0.4787
0,1,"KIR","Kiribati","EAP","N","1981","2006","X",1.065704,3.2,194.0496,0.224206,0.06933832,0.03016723,0.09455925,0.36973,155.4687,0.2336895,-1,0.060133,"KIR_N2006X",0.02552,0.04041,0.05254,0.06312,0.07391,0.08606,0.1002,0.1188,0.147,0.2925
0,1,"KOR","Korea, Republic of","OHI","N","1981","2006","Y",912.0214,3.2,279.5649,0.07747829,0.02472148,0.01232581,0.03849825,0.3170298,243.2029,0.1827651,-1,38.723248,"KOR_N2006Y",0.0268,0.04628,0.05902,0.07042,0.08142,0.09308,0.107,0.1243,0.1516,0.24
0,1,"KGZ","Kyrgyz Republic","ECA","N","1981","1998","X",17.53792,3.2,209.3043,0.3234651,0.1234715,0.06665422,0.1936095,0.4640201,147.3289,0.3961845,-1,3.6858,"KGZ_N1998X",0.01469,0.02858,0.03911,0.0498,0.06298,0.07859,0.09524,0.1199,0.1582,0.3529
0,1,"LAO","Lao People's Democratic Republic","EAP","N","1981","1992.2","X",3325.204,3.2,74.07149,0.8033547,0.3663356,0.1980521,0.5448711,0.3430986,57.3336,0.1911967,-1,3.323377,"LAO_N1992X",0.0348,0.04754,0.05554,0.0629,0.07223,0.08338,0.09655,0.1169,0.1493,0.2808
0,0,"LVA","Latvia","ECA","N","1981","1993","Y",0.4031804,3.2,395.5824,0.000161023,1.174507E-05,2.830366E-06,1.247977E-05,0.2699313,344.9207,0.1173548,0.2335857,2.519421,"LVA_N1993Y",0.04247,0.05349,0.06329,0.07266,0.08221,0.0926,0.1048,0.121,0.1468,0.2207
0,1,"LBN","Lebanon","MNA","N","1981","2011.77","X",892.382,3.2,387.6111,0.02264411,0.004130774,0.001051401,0.00480972,0.3183245,328.8212,0.1697937,-1,2.615747,"LBN_N2011X",0.03091,0.04765,0.05858,0.06829,0.07858,0.09121,0.1036,0.1215,0.1517,0.2479
0,0,"LSO","Lesotho","SSA","N","1981","1986.54","X",3.864347,3.2,98.01359,0.7139996,0.4099918,0.2815257,0.781091,0.5601606,54.54333,0.5836077,0.562795,1.34369,"LSO_N1986X",0.0104,0.01827,0.02702,0.03704,0.04889,0.06359,0.08307,0.1118,0.1642,0.4357
0,1,"LBR","Liberia","SSA","N","1981","2007","X",0.5677298,3.2,244.2193,0.1418878,0.04328271,0.02101573,0.06516254,0.3647774,197.7226,0.2365822,-1,1.957456,"LBR_N2007X",0.02372,0.04126,0.05369,0.06395,0.07521,0.08665,0.1001,0.1205,0.152,0.2829
